date,index
2014-1-2,5694.021
2014-1-3,5696.93
2014-1-6,5573.04
2014-1-7,5567.03
2014-1-8,5634.815
2014-1-9,5633.998
2014-1-10,5529.37
2014-1-13,5482.934
2014-1-14,5565.357
2014-1-15,5520.017
2014-1-16,5513.515
2014-1-17,5499.617
2014-1-20,5488.603
2014-1-21,5469.61
2014-1-22,5606.267
2014-1-23,5547.738
2014-1-24,5611.366
2014-1-27,5424.307
2014-1-28,5414.219
2014-1-29,5451.516
2014-1-30,5484.345
2014-2-7,5373.552
2014-2-10,5419.356
2014-2-11,5446.322
2014-2-12,5496.318
2014-2-13,5468.884
2014-2-14,5448.34
2014-2-17,5444.528
2014-2-18,5369.51
2014-2-19,5406.338
2014-2-20,5444.699
2014-2-21,5427.204
2014-2-24,5304.799
2014-2-25,5051.558
2014-2-26,5173.457
2014-2-27,5212.87
2014-2-28,5304.987
2014-3-3,5279.225
2014-3-4,5410.845
2014-3-5,5460.834
2014-3-6,5436.975
2014-3-7,5445.093
2014-3-10,5307.172
2014-3-11,5309.056
2014-3-12,5321.096
2014-3-13,5384.545
2014-3-14,5371.878
2014-3-17,5390.458
2014-3-18,5354.279
2014-3-19,5278.162
2014-3-20,5192.106
2014-3-21,5209.525
2014-3-24,5242.227
2014-3-25,5273.986
2014-3-26,5262.297
2014-3-27,5180.98
2014-3-28,5215.017
2014-3-31,5247.583
2014-4-1,5288.352
2014-4-2,5339.105
2014-4-3,5331.553
2014-4-4,5323.87
2014-4-8,5287.437
2014-4-9,5312.399
2014-4-10,5367.159
2014-4-11,5378.63
2014-4-14,5436.297
2014-4-15,5404.189
2014-4-16,5400.781
2014-4-17,5412.616
2014-4-18,5398.908
2014-4-21,5356.903
2014-4-22,5356.169
2014-4-23,5377.364
2014-4-24,5383.448
2014-4-25,5322.358
2014-4-28,5262.564
2014-4-29,5276.824
2014-4-30,5349.169
2014-5-5,5295.14
2014-5-6,5323.41
2014-5-7,5211.427
2014-5-8,5246.834
2014-5-9,5205.724
2014-5-12,5222.249
2014-5-13,5222.336
2014-5-14,5262.326
2014-5-15,5247.332
2014-5-16,5248.456
2014-5-19,5228.097
2014-5-20,5194.971
2014-5-21,5197.393
2014-5-22,5207.687
2014-5-23,5300.192
2014-5-26,5309.421
2014-5-27,5330.086
2014-5-28,5323.335
2014-5-29,5268.469
2014-5-30,5169.504
2014-6-3,5235.522
2014-6-4,5200.937
2014-6-5,5248.779
2014-6-6,5249.683
2014-6-9,5257.596
2014-6-10,5317.545
